data_pozyskania,zestawienie_zrodel_ciepla,liczba_budynkow,udzial_procentowy
2026-05-22,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84771,1.35
2026-05-22,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112117,1.78
2026-05-22,mix źródeł niskoemisyjnych,983,0.02
2026-05-22,ogrzewacz na paliwo stałe,545597,8.67
2026-05-22,ogrzewanie elektryczne,58006,0.92
2026-05-22,pompa ciepła,219540,3.49
2026-05-22,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33263,0.53
2026-05-22,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208731,3.32
2026-05-22,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66290,1.05
2026-05-22,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750190,11.92
2026-05-23,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569328,56.69
2026-05-23,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1582143,25.13
2026-05-23,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1058581,16.81
2026-05-23,DANE DO WERYFIKACJI,85977,1.37
2026-05-23,Dane do weryfikacji,85977,1.37
2026-05-23,kocioł automatyczny kl. 5 lub ekoprojekt,462272,7.34
2026-05-23,kocioł gazowy,1203728,19.12
2026-05-23,kocioł kl. 3 lub kl. 4,777908,12.36
2026-05-23,kocioł olejowy,32632,0.52
2026-05-23,kocioł pozaklasowy,1133162,18.0
2026-05-23,kocioł zasypowy kl. 5 lub ekoprojekt,144098,2.29
2026-05-23,miejska sieć ciepłownicza,40098,0.64
2026-05-23,mix źródeł bezemisyjnych,2439,0.04
2026-05-23,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24679,0.39
2026-05-23,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309385,4.91
2026-05-23,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84783,1.35
2026-05-23,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112105,1.78
2026-05-23,mix źródeł niskoemisyjnych,983,0.02
2026-05-23,ogrzewacz na paliwo stałe,545615,8.67
2026-05-23,ogrzewanie elektryczne,58012,0.92
2026-05-23,pompa ciepła,219572,3.49
2026-05-23,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33276,0.53
2026-05-23,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208736,3.32
2026-05-23,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66297,1.05
2026-05-23,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,750272,11.92
2026-05-27,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3570136,56.7
